Produits et groupes de produits;Unité;Janv. 2020;Févr. 2020;Mars 2020;Avr. 2020;Mai 2020;Juin 2020;Juil. 2020;Août 2020;Sept. 2020;Oct. 2020;Nov. 2020;Déc. 2020;Janv. 2021;Févr. 2021;Mars 2021;Avr. 2021;Mai 2021;Juin 2021;Juil. 2021;Août 2021;Sept. 2021;Oct. 2021;Nov. 2021;Déc. 2021
Ensemble;Indice;132.6;133.2;132.5;131.7;131.9;132.8;133;132.9;132.5;133.1;133.5;133.4;134.3;135.3;135.4;136.2;137.3;137.7;138.5;138.7;139.2;140.2;140.5;140.2
Ensemble;Variation annuelle en %;2.7;2.3;1.1;0.2;-0.4;0.6;0.3;0.4;0.3;0.5;0.8;0.8;1.3;1.6;2.2;3.4;4.1;3.7;4.1;4.4;5.1;5.3;5.2;5.1
  Aliments;Indice;152.6;152.6;151.6;153.9;154;154.7;154.9;153.4;151.5;152.9;153.4;153.3;154.3;156.1;154.3;155;155.9;156.1;157.5;157.3;157.6;159.1;160.4;161.3
  Aliments;Variation annuelle en %;3.2;2.4;1.9;3.8;3.4;3.2;2.7;2.3;1.7;2.9;1.9;1.3;1.1;2.3;1.8;0.7;1.2;0.9;1.7;2.5;4;4.1;4.6;5.2
    Aliments achetés en magasin;Indice;149.6;149.5;148;150.6;150.7;151.4;151.2;148.9;146.3;148.1;148.8;148.2;149.5;152;149.5;149.9;151;150.8;152.4;152.1;152.3;153.6;155;156.4
    Aliments achetés en magasin;Variation annuelle en %;3.7;2.5;1.9;4.3;3.8;3.4;2.6;2.1;1.2;2.9;1.5;0.3;-0.1;1.7;1;-0.5;0.2;-0.4;0.8;2.1;4.1;3.7;4.2;5.5
    Aliments achetés au restaurant;Indice;159.9;160;160.4;162;162.3;162.8;164;164.4;164.3;164.9;164.9;165.8;166.2;166.4;166.1;167.4;167.9;169.6;169.9;170.4;171;172.8;173.8;173.3
    Aliments achetés au restaurant;Variation annuelle en %;2.2;1.9;2;2.8;2.6;2.6;3;2.8;2.8;2.8;2.7;3.6;3.9;4;3.6;3.3;3.5;4.2;3.6;3.6;4.1;4.8;5.4;4.5
  Logement;Indice;137.3;137.6;137.9;137.4;136.8;137.1;137.1;137.7;137.7;137.9;138.4;138.7;138.9;139.1;139.3;140.1;141.7;142.4;143.2;143.5;143.8;144.4;144.4;144.9
  Logement;Variation annuelle en %;2.4;2.3;2.2;2;1.5;1.6;1.6;1.3;0.8;0.6;1.1;0.9;1.2;1.1;1;2;3.6;3.9;4.4;4.2;4.4;4.7;4.3;4.5
    Logement locatif;Indice;122.4;122.8;123.2;121.8;120.7;121.6;121.3;123.1;122.8;124.2;124.9;124.3;124.5;124.6;124.4;124.7;126.1;126.8;127.8;127.7;127.4;126.3;126.5;127.2
    Logement locatif;Variation annuelle en %;1.9;2;1.8;1.3;0.2;1.1;1;1.3;0;0.4;2;1;1.7;1.5;1;2.4;4.5;4.3;5.4;3.7;3.7;1.7;1.3;2.3
    Logement en propriété;Indice;145.7;146.3;146.6;147.2;147.1;147.2;147.2;147.3;147.4;147;147.4;148.1;148.3;148.3;148.7;149.7;151.7;152.4;153.3;153.9;154.4;155.7;155.5;155.9
    Logement en propriété;Variation annuelle en %;3.5;3.6;3.6;3.7;3.4;3.2;2.9;2.4;2.1;1.7;1.7;1.8;1.8;1.4;1.4;1.7;3.1;3.5;4.1;4.5;4.7;5.9;5.5;5.3
      Électricité;Indice;118.5;118.5;118.5;118.5;118.5;118.5;118.5;118.5;118.5;118.5;118.5;118.5;118.5;118.5;118.5;120;120;120;120;120;120;120;120;120
      Électricité;Variation annuelle en %;-1.3;-1.3;-1.3;0;0;0;0;0;0;0;0;0;0;0;0;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3
      Gaz naturel;Indice;98.7;98.1;97.4;96.1;97;97.9;96.8;96.9;97.7;99.2;99;99.3;97.9;98.3;100.1;99.8;99.7;100.6;101.2;103.5;105.1;120.3;122.2;121.4
      Gaz naturel;Variation annuelle en %;-14.4;-13.6;-13;-13.3;-11.7;-10.8;-10.9;-10.4;-9.6;-7;-5.3;0;-0.8;0.2;2.8;3.9;2.8;2.8;4.5;6.8;7.6;21.3;23.4;22.3
      Mazout et autres combustibles;Indice;251.5;229.9;225.5;204.6;182.9;177.6;183.8;184;179.3;177.5;180.5;197;204.9;219.7;227.6;221;226.5;233.7;239.6;239.7;248.3;266.6;277.2;274.6
      Mazout et autres combustibles;Variation annuelle en %;5.7;-4.8;-8.3;-17.5;-26.2;-24.9;-21.5;-20.7;-22.4;-26.4;-26.6;-19.3;-18.5;-4.4;0.9;8;23.8;31.6;30.4;30.3;38.5;50.2;53.6;39.4
  Dépenses courantes. ameublement et équipement du ménage;Indice;123;123.8;123.6;123.5;123.7;123.9;124.3;124.3;124.2;124.6;124.5;124.1;124.1;124.9;124.6;125.7;126.1;126.8;127.4;127.3;128.3;128.8;129.2;128.4
