Produits et groupes de produits;Unité;Janv. 2022;Févr. 2022;mars-22;Avr. 2022;mai-22;juin-22;Juil. 2022;Aout 2022;Sept. 2022;Oct. 2022;Nov. 2022;Déc. 2022;Janv. 2023;Févr. 2023;mars-23;Avr. 2023;mai-23;juin-23;Juil. 2023;Aout 2023;Sept. 2023;Oct. 2023;Nov. 2023;Déc. 2023
Ensemble;Indice;141.1;142.6;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Ensemble;Variation annuelle en %;5.1;5.4;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
  Aliments;Indice;162.9;166;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
  Aliments;Variation annuelle en %;5.6;6.3;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Aliments achetés en magasin;Indice;158.1;161.4;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Aliments achetés en magasin;Variation annuelle en %;5.8;6.2;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Aliments achetés au restaurant;Indice;174.7;176.9;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Aliments achetés au restaurant;Variation annuelle en %;5.1;6.3;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
  Logement;Indice;145.5;145.9;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
  Logement;Variation annuelle en %;4.8;4.9;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Logement locatif;Indice;127.9;129;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Logement locatif;Variation annuelle en %;2.7;3.5;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Logement en propriété;Indice;156.5;156.3;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Logement en propriété;Variation annuelle en %;5.5;5.4;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
      Électricité;Indice;120;120;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
      Électricité;Variation annuelle en %;1.3;1.3;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
      Gaz naturel;Indice;121.8;121.9;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
      Gaz naturel;Variation annuelle en %;24.4;24;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
      Mazout et autres combustibles;Indice;291.1;320.8;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
      Mazout et autres combustibles;Variation annuelle en %;42.1;46;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
  Dépenses courantes. ameublement et équipement du ménage;Indice;128.7;130;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
  Dépenses courantes. ameublement et équipement du ménage;Variation annuelle en %;3.7;4.1;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Dépenses courantes du ménage;Indice;142.3;142.2;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Dépenses courantes du ménage;Variation annuelle en %;3;2.4;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
      Communications;Indice;110.1;107.3;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
      Communications;Variation annuelle en %;-3;-4.3;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
      Services de garde d'enfants et d'entretien ménager;Indice;175.7;182.4;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
      Services de garde d'enfants et d'entretien ménager;Variation annuelle en %;5.7;5.1;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Ameublement et articles ménagers;Indice;107.8;110.6;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Ameublement et articles ménagers;Variation annuelle en %;5.4;7.2;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
