Élément statistique;1er niveau de détail;Temps;Unité de mesure;Valeur numérique;Note
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);janv-17;M$ enchaînés de 2012;351511.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);févr-17;M$ enchaînés de 2012;352156.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);mars-17;M$ enchaînés de 2012;353763;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);avr-17;M$ enchaînés de 2012;356390.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);mai-17;M$ enchaînés de 2012;355434.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);juin-17;M$ enchaînés de 2012;355834.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);juil-17;M$ enchaînés de 2012;359948.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);août-17;M$ enchaînés de 2012;358257.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);sept-17;M$ enchaînés de 2012;359015.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);oct-17;M$ enchaînés de 2012;360145.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);nov-17;M$ enchaînés de 2012;361689.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);déc-17;M$ enchaînés de 2012;361016.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);janv-18;M$ enchaînés de 2012;362561.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);févr-18;M$ enchaînés de 2012;363577.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);mars-18;M$ enchaînés de 2012;366364.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);avr-18;M$ enchaînés de 2012;365477;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);mai-18;M$ enchaînés de 2012;367401.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);juin-18;M$ enchaînés de 2012;367555.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);juil-18;M$ enchaînés de 2012;369744.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);août-18;M$ enchaînés de 2012;369428.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);sept-18;M$ enchaînés de 2012;369338.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);oct-18;M$ enchaînés de 2012;371228.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);nov-18;M$ enchaînés de 2012;372304.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);déc-18;M$ enchaînés de 2012;373594.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);janv-19;M$ enchaînés de 2012;373942;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);févr-19;M$ enchaînés de 2012;374743.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);mars-19;M$ enchaînés de 2012;377450.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);avr-19;M$ enchaînés de 2012;377149.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);mai-19;M$ enchaînés de 2012;378712.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);juin-19;M$ enchaînés de 2012;378206.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);juil-19;M$ enchaînés de 2012;379329.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);août-19;M$ enchaînés de 2012;378392;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);sept-19;M$ enchaînés de 2012;378485.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);oct-19;M$ enchaînés de 2012;378969.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);nov-19;M$ enchaînés de 2012;379967.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);déc-19;M$ enchaînés de 2012;380867.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);janv-20;M$ enchaînés de 2012;381905.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);févr-20;M$ enchaînés de 2012;379294.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);mars-20;M$ enchaînés de 2012;342136.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);avr-20;M$ enchaînés de 2012;295475.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);mai-20;M$ enchaînés de 2012;327774.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);juin-20;M$ enchaînés de 2012;350715.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);juil-20;M$ enchaînés de 2012;361345.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);août-20;M$ enchaînés de 2012;366047.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);sept-20;M$ enchaînés de 2012;370926;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);oct-20;M$ enchaînés de 2012;370720.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);nov-20;M$ enchaînés de 2012;373123.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);déc-20;M$ enchaînés de 2012;373443.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);janv-21;M$ enchaînés de 2012;373102.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);févr-21;M$ enchaînés de 2012;375198;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);mars-21;M$ enchaînés de 2012;379940.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);avr-21;M$ enchaînés de 2012;377134;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);mai-21;M$ enchaînés de 2012;377153.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);juin-21;M$ enchaînés de 2012;380596.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);juil-21;M$ enchaînés de 2012;379410.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);août-21;M$ enchaînés de 2012;383877.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);sept-21;M$ enchaînés de 2012;382391.4;
