"Élément statistique";"1er niveau de détail";"Temps";"Unité de mesure";"Valeur numérique"
"Dépenses de consommation finale des ménages par type de dépenses";"Dépenses de consommation finale des ménages";"4e trim. 2018";"M$";"255841.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Dépenses de consommation finale des ménages";"1er trim. 2019";"M$";"258981.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Dépenses de consommation finale des ménages";"2e trim. 2019";"M$";"261766.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Dépenses de consommation finale des ménages";"3e trim. 2019";"M$";"262803.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Dépenses de consommation finale des ménages";"4e trim. 2019";"M$";"264718.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Dépenses de consommation finale des ménages";"1er trim. 2020";"M$";"255135.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Dépenses de consommation finale des ménages";"2e trim. 2020";"M$";"221319.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Dépenses de consommation finale des ménages";"3e trim. 2020";"M$";"257226.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Dépenses de consommation finale des ménages";"4e trim. 2020";"M$";"256820.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Dépenses de consommation finale des ménages";"1er trim. 2021";"M$";"259428.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Dépenses de consommation finale des ménages";"2e trim. 2021";"M$";"264933.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Dépenses de consommation finale des ménages";"3e trim. 2021";"M$";"278012.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Dépenses de consommation finale des ménages";"4e trim. 2021";"M$";"281019.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens";"4e trim. 2018";"M$";"122180"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens";"1er trim. 2019";"M$";"124086"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens";"2e trim. 2019";"M$";"125738"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens";"3e trim. 2019";"M$";"125343"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens";"4e trim. 2019";"M$";"125557"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens";"1er trim. 2020";"M$";"120183"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens";"2e trim. 2020";"M$";"110331"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens";"3e trim. 2020";"M$";"133112"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens";"4e trim. 2020";"M$";"134238"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens";"1er trim. 2021";"M$";"135176"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens";"2e trim. 2021";"M$";"136206"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens";"3e trim. 2021";"M$";"138917"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens";"4e trim. 2021";"M$";"139913"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens durables";"4e trim. 2018";"M$";"36573"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens durables";"1er trim. 2019";"M$";"37216"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens durables";"2e trim. 2019";"M$";"38003"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens durables";"3e trim. 2019";"M$";"37121"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens durables";"4e trim. 2019";"M$";"36512"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens durables";"1er trim. 2020";"M$";"32223"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens durables";"2e trim. 2020";"M$";"27471"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens durables";"3e trim. 2020";"M$";"41159"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens durables";"4e trim. 2020";"M$";"41727"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens durables";"1er trim. 2021";"M$";"41142"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens durables";"2e trim. 2021";"M$";"41367"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens durables";"3e trim. 2021";"M$";"40362"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens durables";"4e trim. 2021";"M$";"40673"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens semi-durables";"4e trim. 2018";"M$";"19775"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens semi-durables";"1er trim. 2019";"M$";"19791"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens semi-durables";"2e trim. 2019";"M$";"20191"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens semi-durables";"3e trim. 2019";"M$";"20364"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens semi-durables";"4e trim. 2019";"M$";"20266"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens semi-durables";"1er trim. 2020";"M$";"18288"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens semi-durables";"2e trim. 2020";"M$";"16043"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens semi-durables";"3e trim. 2020";"M$";"21431"
