"Compte des ménages, données trimestrielles désaisonnalisées au taux annuel, Québec (24 mars 2022)"
"Élément statistique";"1er niveau de détail";"Temps";"Unité de mesure";"Valeur numérique"
"Compte des ménages";"Rémunération des salariés";"1er trim. 2019";"M$";"245339"
"Compte des ménages";"Rémunération des salariés";"2e trim. 2019";"M$";"248717"
"Compte des ménages";"Rémunération des salariés";"3e trim. 2019";"M$";"252237"
"Compte des ménages";"Rémunération des salariés";"4e trim. 2019";"M$";"257539"
"Compte des ménages";"Rémunération des salariés";"1er trim. 2020";"M$";"255348"
"Compte des ménages";"Rémunération des salariés";"2e trim. 2020";"M$";"231833"
"Compte des ménages";"Rémunération des salariés";"3e trim. 2020";"M$";"257559"
"Compte des ménages";"Rémunération des salariés";"4e trim. 2020";"M$";"262004"
"Compte des ménages";"Rémunération des salariés";"1er trim. 2021";"M$";"265170"
"Compte des ménages";"Rémunération des salariés";"2e trim. 2021";"M$";"273552"
"Compte des ménages";"Rémunération des salariés";"3e trim. 2021";"M$";"279552"
"Compte des ménages";"Rémunération des salariés";"4e trim. 2021";"M$";"286022"
"Compte des ménages";"Plus : revenu mixte net";"1er trim. 2019";"M$";"33973"
"Compte des ménages";"Plus : revenu mixte net";"2e trim. 2019";"M$";"34465"
"Compte des ménages";"Plus : revenu mixte net";"3e trim. 2019";"M$";"35293"
"Compte des ménages";"Plus : revenu mixte net";"4e trim. 2019";"M$";"35917"
"Compte des ménages";"Plus : revenu mixte net";"1er trim. 2020";"M$";"35659"
"Compte des ménages";"Plus : revenu mixte net";"2e trim. 2020";"M$";"33023"
"Compte des ménages";"Plus : revenu mixte net";"3e trim. 2020";"M$";"34647"
"Compte des ménages";"Plus : revenu mixte net";"4e trim. 2020";"M$";"34843"
"Compte des ménages";"Plus : revenu mixte net";"1er trim. 2021";"M$";"36212"
"Compte des ménages";"Plus : revenu mixte net";"2e trim. 2021";"M$";"36636"
"Compte des ménages";"Plus : revenu mixte net";"3e trim. 2021";"M$";"36836"
"Compte des ménages";"Plus : revenu mixte net";"4e trim. 2021";"M$";"36860"
"Compte des ménages";"..Non agricole";"1er trim. 2019";"M$";"16009"
"Compte des ménages";"..Non agricole";"2e trim. 2019";"M$";"16101"
"Compte des ménages";"..Non agricole";"3e trim. 2019";"M$";"16501"
"Compte des ménages";"..Non agricole";"4e trim. 2019";"M$";"16749"
"Compte des ménages";"..Non agricole";"1er trim. 2020";"M$";"16656"
"Compte des ménages";"..Non agricole";"2e trim. 2020";"M$";"13792"
"Compte des ménages";"..Non agricole";"3e trim. 2020";"M$";"15756"
"Compte des ménages";"..Non agricole";"4e trim. 2020";"M$";"15928"
"Compte des ménages";"..Non agricole";"1er trim. 2021";"M$";"17529"
"Compte des ménages";"..Non agricole";"2e trim. 2021";"M$";"17925"
"Compte des ménages";"..Non agricole";"3e trim. 2021";"M$";"17669"
"Compte des ménages";"..Non agricole";"4e trim. 2021";"M$";"17845"
"Compte des ménages";"..Agricole";"1er trim. 2019";"M$";"1479"
"Compte des ménages";"..Agricole";"2e trim. 2019";"M$";"1563"
"Compte des ménages";"..Agricole";"3e trim. 2019";"M$";"1551"
"Compte des ménages";"..Agricole";"4e trim. 2019";"M$";"1499"
"Compte des ménages";"..Agricole";"1er trim. 2020";"M$";"1488"
"Compte des ménages";"..Agricole";"2e trim. 2020";"M$";"1468"
"Compte des ménages";"..Agricole";"3e trim. 2020";"M$";"1448"
"Compte des ménages";"..Agricole";"4e trim. 2020";"M$";"1480"
"Compte des ménages";"..Agricole";"1er trim. 2021";"M$";"1552"
"Compte des ménages";"..Agricole";"2e trim. 2021";"M$";"1588"
"Compte des ménages";"..Agricole";"3e trim. 2021";"M$";"1608"
"Compte des ménages";"..Agricole";"4e trim. 2021";"M$";"1616"
"Compte des ménages";"..Revenu de location des ménages";"1er trim. 2019";"M$";"16484"
"Compte des ménages";"..Revenu de location des ménages";"2e trim. 2019";"M$";"16800"
"Compte des ménages";"..Revenu de location des ménages";"3e trim. 2019";"M$";"17240"
"Compte des ménages";"..Revenu de location des ménages";"4e trim. 2019";"M$";"17668"
"Compte des ménages";"..Revenu de location des ménages";"1er trim. 2020";"M$";"17515"
"Compte des ménages";"..Revenu de location des ménages";"2e trim. 2020";"M$";"17763"
"Compte des ménages";"..Revenu de location des ménages";"3e trim. 2020";"M$";"17443"
"Compte des ménages";"..Revenu de location des ménages";"4e trim. 2020";"M$";"17435"
"Compte des ménages";"..Revenu de location des ménages";"1er trim. 2021";"M$";"17131"
"Compte des ménages";"..Revenu de location des ménages";"2e trim. 2021";"M$";"17123"
"Compte des ménages";"..Revenu de location des ménages";"3e trim. 2021";"M$";"17559"
"Compte des ménages";"..Revenu de location des ménages";"4e trim. 2021";"M$";"17399"
"Compte des ménages";"Plus : revenu net de la propriété";"1er trim. 2019";"M$";"30336"
"Compte des ménages";"Plus : revenu net de la propriété";"2e trim. 2019";"M$";"31460"
"Compte des ménages";"Plus : revenu net de la propriété";"3e trim. 2019";"M$";"31500"
"Compte des ménages";"Plus : revenu net de la propriété";"4e trim. 2019";"M$";"31736"
"Compte des ménages";"Plus : revenu net de la propriété";"1er trim. 2020";"M$";"32348"
"Compte des ménages";"Plus : revenu net de la propriété";"2e trim. 2020";"M$";"31884"
"Compte des ménages";"Plus : revenu net de la propriété";"3e trim. 2020";"M$";"30604"
"Compte des ménages";"Plus : revenu net de la propriété";"4e trim. 2020";"M$";"31532"
"Compte des ménages";"Plus : revenu net de la propriété";"1er trim. 2021";"M$";"32561"
"Compte des ménages";"Plus : revenu net de la propriété";"2e trim. 2021";"M$";"33125"
"Compte des ménages";"Plus : revenu net de la propriété";"3e trim. 2021";"M$";"33265"
"Compte des ménages";"Plus : revenu net de la propriété";"4e trim. 2021";"M$";"32577"
"Compte des ménages";"Revenu de la propriété reçu";"1er trim. 2019";"M$";"43768"
"Compte des ménages";"Revenu de la propriété reçu";"2e trim. 2019";"M$";"44948"
"Compte des ménages";"Revenu de la propriété reçu";"3e trim. 2019";"M$";"45284"
"Compte des ménages";"Revenu de la propriété reçu";"4e trim. 2019";"M$";"45556"
"Compte des ménages";"Revenu de la propriété reçu";"1er trim. 2020";"M$";"45828"
"Compte des ménages";"Revenu de la propriété reçu";"2e trim. 2020";"M$";"44216"
"Compte des ménages";"Revenu de la propriété reçu";"3e trim. 2020";"M$";"42684"
"Compte des ménages";"Revenu de la propriété reçu";"4e trim. 2020";"M$";"43404"
"Compte des ménages";"Revenu de la propriété reçu";"1er trim. 2021";"M$";"44172"
"Compte des ménages";"Revenu de la propriété reçu";"2e trim. 2021";"M$";"44656"
"Compte des ménages";"Revenu de la propriété reçu";"3e trim. 2021";"M$";"44508"
"Compte des ménages";"Revenu de la propriété reçu";"4e trim. 2021";"M$";"43916"
"Compte des ménages";"Moins : revenu de la propriété payé";"1er trim. 2019";"M$";"13432"
"Compte des ménages";"Moins : revenu de la propriété payé";"2e trim. 2019";"M$";"13488"
"Compte des ménages";"Moins : revenu de la propriété payé";"3e trim. 2019";"M$";"13784"
"Compte des ménages";"Moins : revenu de la propriété payé";"4e trim. 2019";"M$";"13820"
"Compte des ménages";"Moins : revenu de la propriété payé";"1er trim. 2020";"M$";"13480"
"Compte des ménages";"Moins : revenu de la propriété payé";"2e trim. 2020";"M$";"12332"
"Compte des ménages";"Moins : revenu de la propriété payé";"3e trim. 2020";"M$";"12080"
"Compte des ménages";"Moins : revenu de la propriété payé";"4e trim. 2020";"M$";"11872"
"Compte des ménages";"Moins : revenu de la propriété payé";"1er trim. 2021";"M$";"11611"
"Compte des ménages";"Moins : revenu de la propriété payé";"2e trim. 2021";"M$";"11531"
"Compte des ménages";"Moins : revenu de la propriété payé";"3e trim. 2021";"M$";"11243"
"Compte des ménages";"Moins : revenu de la propriété payé";"4e trim. 2021";"M$";"11339"
"Compte des ménages";"Égale : revenu primaire des ménages";"1er trim. 2019";"M$";"309648"
"Compte des ménages";"Égale : revenu primaire des ménages";"2e trim. 2019";"M$";"314642"
"Compte des ménages";"Égale : revenu primaire des ménages";"3e trim. 2019";"M$";"319030"
"Compte des ménages";"Égale : revenu primaire des ménages";"4e trim. 2019";"M$";"325192"
"Compte des ménages";"Égale : revenu primaire des ménages";"1er trim. 2020";"M$";"323355"
"Compte des ménages";"Égale : revenu primaire des ménages";"2e trim. 2020";"M$";"296740"
"Compte des ménages";"Égale : revenu primaire des ménages";"3e trim. 2020";"M$";"322810"
"Compte des ménages";"Égale : revenu primaire des ménages";"4e trim. 2020";"M$";"328379"
"Compte des ménages";"Égale : revenu primaire des ménages";"1er trim. 2021";"M$";"333943"
"Compte des ménages";"Égale : revenu primaire des ménages";"2e trim. 2021";"M$";"343313"
"Compte des ménages";"Égale : revenu primaire des ménages";"3e trim. 2021";"M$";"349653"
"Compte des ménages";"Égale : revenu primaire des ménages";"4e trim. 2021";"M$";"355459"
"Compte des ménages";"Plus : transferts courants reçus";"1er trim. 2019";"M$";"84481"
"Compte des ménages";"Plus : transferts courants reçus";"2e trim. 2019";"M$";"85182"
"Compte des ménages";"Plus : transferts courants reçus";"3e trim. 2019";"M$";"85064"
"Compte des ménages";"Plus : transferts courants reçus";"4e trim. 2019";"M$";"86421"
"Compte des ménages";"Plus : transferts courants reçus";"1er trim. 2020";"M$";"90800"
"Compte des ménages";"Plus : transferts courants reçus";"2e trim. 2020";"M$";"134511"
"Compte des ménages";"Plus : transferts courants reçus";"3e trim. 2020";"M$";"108227"
"Compte des ménages";"Plus : transferts courants reçus";"4e trim. 2020";"M$";"106394"
"Compte des ménages";"Plus : transferts courants reçus";"1er trim. 2021";"M$";"104961"
"Compte des ménages";"Plus : transferts courants reçus";"2e trim. 2021";"M$";"123915"
"Compte des ménages";"Plus : transferts courants reçus";"3e trim. 2021";"M$";"120455"
"Compte des ménages";"Plus : transferts courants reçus";"4e trim. 2021";"M$";"108817"
"Compte des ménages";"..Des administrations publiques";"1er trim. 2019";"M$";"58928"
"Compte des ménages";"..Des administrations publiques";"2e trim. 2019";"M$";"58804"
"Compte des ménages";"..Des administrations publiques";"3e trim. 2019";"M$";"59008"
"Compte des ménages";"..Des administrations publiques";"4e trim. 2019";"M$";"59820"
"Compte des ménages";"..Des administrations publiques";"1er trim. 2020";"M$";"63714"
"Compte des ménages";"..Des administrations publiques";"2e trim. 2020";"M$";"106961"
"Compte des ménages";"..Des administrations publiques";"3e trim. 2020";"M$";"80514"
"Compte des ménages";"..Des administrations publiques";"4e trim. 2020";"M$";"78367"
"Compte des ménages";"..Des administrations publiques";"1er trim. 2021";"M$";"77024"
"Compte des ménages";"..Des administrations publiques";"2e trim. 2021";"M$";"95808"
"Compte des ménages";"..Des administrations publiques";"3e trim. 2021";"M$";"91936"
"Compte des ménages";"..Des administrations publiques";"4e trim. 2021";"M$";"79936"
"Compte des ménages";"..Des sociétés";"1er trim. 2019";"M$";"23808"
"Compte des ménages";"..Des sociétés";"2e trim. 2019";"M$";"24598"
"Compte des ménages";"..Des sociétés";"3e trim. 2019";"M$";"24254"
"Compte des ménages";"..Des sociétés";"4e trim. 2019";"M$";"24792"
"Compte des ménages";"..Des sociétés";"1er trim. 2020";"M$";"25268"
"Compte des ménages";"..Des sociétés";"2e trim. 2020";"M$";"25048"
"Compte des ménages";"..Des sociétés";"3e trim. 2020";"M$";"25147"
"Compte des ménages";"..Des sociétés";"4e trim. 2020";"M$";"25633"
"Compte des ménages";"..Des sociétés";"1er trim. 2021";"M$";"25130"
"Compte des ménages";"..Des sociétés";"2e trim. 2021";"M$";"25369"
"Compte des ménages";"..Des sociétés";"3e trim. 2021";"M$";"25721"
"Compte des ménages";"..Des sociétés";"4e trim. 2021";"M$";"25780"
"Compte des ménages";"..Des institutions sans but lucratif au service des ménages";"1er trim. 2019";"M$";"1116"
"Compte des ménages";"..Des institutions sans but lucratif au service des ménages";"2e trim. 2019";"M$";"1124"
"Compte des ménages";"..Des institutions sans but lucratif au service des ménages";"3e trim. 2019";"M$";"1132"
"Compte des ménages";"..Des institutions sans but lucratif au service des ménages";"4e trim. 2019";"M$";"1144"
"Compte des ménages";"..Des institutions sans but lucratif au service des ménages";"1er trim. 2020";"M$";"1143"
"Compte des ménages";"..Des institutions sans but lucratif au service des ménages";"2e trim. 2020";"M$";"1813"
"Compte des ménages";"..Des institutions sans but lucratif au service des ménages";"3e trim. 2020";"M$";"1876"
"Compte des ménages";"..Des institutions sans but lucratif au service des ménages";"4e trim. 2020";"M$";"1716"
"Compte des ménages";"..Des institutions sans but lucratif au service des ménages";"1er trim. 2021";"M$";"2138"
"Compte des ménages";"..Des institutions sans but lucratif au service des ménages";"2e trim. 2021";"M$";"2071"
"Compte des ménages";"..Des institutions sans but lucratif au service des ménages";"3e trim. 2021";"M$";"2108"
"Compte des ménages";"..Des institutions sans but lucratif au service des ménages";"4e trim. 2021";"M$";"2399"
"Compte des ménages";"..Des non-résidents";"1er trim. 2019";"M$";"629"
"Compte des ménages";"..Des non-résidents";"2e trim. 2019";"M$";"656"
"Compte des ménages";"..Des non-résidents";"3e trim. 2019";"M$";"670"
"Compte des ménages";"..Des non-résidents";"4e trim. 2019";"M$";"665"
"Compte des ménages";"..Des non-résidents";"1er trim. 2020";"M$";"675"
"Compte des ménages";"..Des non-résidents";"2e trim. 2020";"M$";"689"
"Compte des ménages";"..Des non-résidents";"3e trim. 2020";"M$";"690"
"Compte des ménages";"..Des non-résidents";"4e trim. 2020";"M$";"678"
"Compte des ménages";"..Des non-résidents";"1er trim. 2021";"M$";"669"
"Compte des ménages";"..Des non-résidents";"2e trim. 2021";"M$";"667"
"Compte des ménages";"..Des non-résidents";"3e trim. 2021";"M$";"690"
"Compte des ménages";"..Des non-résidents";"4e trim. 2021";"M$";"702"
"Compte des ménages";"Moins : transferts courants payés";"1er trim. 2019";"M$";"139448"
"Compte des ménages";"Moins : transferts courants payés";"2e trim. 2019";"M$";"141357"
"Compte des ménages";"Moins : transferts courants payés";"3e trim. 2019";"M$";"143079"
"Compte des ménages";"Moins : transferts courants payés";"4e trim. 2019";"M$";"145248"
"Compte des ménages";"Moins : transferts courants payés";"1er trim. 2020";"M$";"146077"
"Compte des ménages";"Moins : transferts courants payés";"2e trim. 2020";"M$";"135036"
"Compte des ménages";"Moins : transferts courants payés";"3e trim. 2020";"M$";"146150"
"Compte des ménages";"Moins : transferts courants payés";"4e trim. 2020";"M$";"148421"
"Compte des ménages";"Moins : transferts courants payés";"1er trim. 2021";"M$";"153495"
"Compte des ménages";"Moins : transferts courants payés";"2e trim. 2021";"M$";"159218"
"Compte des ménages";"Moins : transferts courants payés";"3e trim. 2021";"M$";"160819"
"Compte des ménages";"Moins : transferts courants payés";"4e trim. 2021";"M$";"163060"
"Compte des ménages";"..Aux administrations publiques";"1er trim. 2019";"M$";"90781"
"Compte des ménages";"..Aux administrations publiques";"2e trim. 2019";"M$";"91405"
"Compte des ménages";"..Aux administrations publiques";"3e trim. 2019";"M$";"92735"
"Compte des ménages";"..Aux administrations publiques";"4e trim. 2019";"M$";"93355"
"Compte des ménages";"..Aux administrations publiques";"1er trim. 2020";"M$";"94078"
"Compte des ménages";"..Aux administrations publiques";"2e trim. 2020";"M$";"89218"
"Compte des ménages";"..Aux administrations publiques";"3e trim. 2020";"M$";"94876"
"Compte des ménages";"..Aux administrations publiques";"4e trim. 2020";"M$";"98296"
"Compte des ménages";"..Aux administrations publiques";"1er trim. 2021";"M$";"101563"
"Compte des ménages";"..Aux administrations publiques";"2e trim. 2021";"M$";"106023"
"Compte des ménages";"..Aux administrations publiques";"3e trim. 2021";"M$";"106076"
