Secteur,Annee,Salaire
"Total des employés, toutes les industries",2017,24.85
"Total des employés, toutes les industries",2018,25.34
"Total des employés, toutes les industries",2019,26.58
"Total des employés, toutes les industries",2020,28.2
"Total des employés, toutes les industries",2021,28.81
Secteur de la production de biens,2017,26.22
Secteur de la production de biens,2018,26.88
Secteur de la production de biens,2019,28.25
Secteur de la production de biens,2020,29.5
Secteur de la production de biens,2021,29.69
Agriculture,2017,16.71
Agriculture,2018,17.85
Agriculture,2019,17.65
Agriculture,2020,18.53
Agriculture,2021,18.86
"Foresterie, pêche, mines, exploitation en carrière, et extraction de pétrole et de gaz",2017,30.68
"Foresterie, pêche, mines, exploitation en carrière, et extraction de pétrole et de gaz",2018,30.98
"Foresterie, pêche, mines, exploitation en carrière, et extraction de pétrole et de gaz",2019,33.48
"Foresterie, pêche, mines, exploitation en carrière, et extraction de pétrole et de gaz",2020,33.95
"Foresterie, pêche, mines, exploitation en carrière, et extraction de pétrole et de gaz",2021,34.62
Services publics,2017,36.49
Services publics,2018,40.55
Services publics,2019,43.16
Services publics,2020,46.25
Services publics,2021,46.21
Construction,2017,28.94
Construction,2018,29.13
Construction,2019,30.74
Construction,2020,31.3
Construction,2021,31.8
Fabrication,2017,24.9
Fabrication,2018,25.42
Fabrication,2019,26.57
Fabrication,2020,28.12
Fabrication,2021,27.99
Secteur des services,2017,24.5
Secteur des services,2018,24.94
Secteur des services,2019,26.14
Secteur des services,2020,27.85
Secteur des services,2021,28.58
Commerce de gros et de détail,2017,19.41
Commerce de gros et de détail,2018,19.39
Commerce de gros et de détail,2019,19.5
Commerce de gros et de détail,2020,21
Commerce de gros et de détail,2021,21.43
Transport et entreposage,2017,23.33
Transport et entreposage,2018,25.17
Transport et entreposage,2019,25.89
Transport et entreposage,2020,26.45
Transport et entreposage,2021,28.38
"Finance, assurances, services immobiliers et de location",2017,29.19
"Finance, assurances, services immobiliers et de location",2018,29.28
"Finance, assurances, services immobiliers et de location",2019,31.68
"Finance, assurances, services immobiliers et de location",2020,33.16
"Finance, assurances, services immobiliers et de location",2021,34.63
"Services professionnels, scientifiques et techniques",2017,30.5
"Services professionnels, scientifiques et techniques",2018,31.54
"Services professionnels, scientifiques et techniques",2019,33
"Services professionnels, scientifiques et techniques",2020,35.56
"Services professionnels, scientifiques et techniques",2021,34.48
"Services aux entreprises, services relatifs aux bâtiments et autres services de soutien",2017,19.21
"Services aux entreprises, services relatifs aux bâtiments et autres services de soutien",2018,20.34
"Services aux entreprises, services relatifs aux bâtiments et autres services de soutien",2019,21.05
"Services aux entreprises, services relatifs aux bâtiments et autres services de soutien",2020,22.08
"Services aux entreprises, services relatifs aux bâtiments et autres services de soutien",2021,22.6
Services d'enseignement,2017,32.2
Services d'enseignement,2018,32.72
Services d'enseignement,2019,35.01
Services d'enseignement,2020,35.52
Services d'enseignement,2021,35.58
Soins de santé et assistance sociale,2017,25.08
Soins de santé et assistance sociale,2018,25.23
Soins de santé et assistance sociale,2019,26.03
Soins de santé et assistance sociale,2020,27.07
Soins de santé et assistance sociale,2021,27.49
"Information, culture et loisirs",2017,24.47
"Information, culture et loisirs",2018,24.08
"Information, culture et loisirs",2019,25.82
"Information, culture et loisirs",2020,29.35
"Information, culture et loisirs",2021,29.53
Services d'hébergement et de restauration,2017,15.17
Services d'hébergement et de restauration,2018,15.57
Services d'hébergement et de restauration,2019,16.22
Services d'hébergement et de restauration,2020,16.75
Services d'hébergement et de restauration,2021,17.12
Autres services (sauf les administrations publiques),2017,21.26
Autres services (sauf les administrations publiques),2018,21.6
Autres services (sauf les administrations publiques),2019,21.34
Autres services (sauf les administrations publiques),2020,24.25
Autres services (sauf les administrations publiques),2021,24.57
Administrations publiques,2017,33.07
Administrations publiques,2018,33.61
Administrations publiques,2019,35.72
Administrations publiques,2020,36.59
Administrations publiques,2021,37.94
