Élément statistique,Territoire,Mois,Valeur
Taux de chômage,Bas-Saint-Laurent,Janvier 2019,5.4
Taux de chômage,Bas-Saint-Laurent,Février 2019,5.9
Taux de chômage,Bas-Saint-Laurent,Mars 2019,6.6
Taux de chômage,Bas-Saint-Laurent,Avril 2019,6.5
Taux de chômage,Bas-Saint-Laurent,Mai 2019,6.1
Taux de chômage,Bas-Saint-Laurent,Juin 2019,5.4
Taux de chômage,Bas-Saint-Laurent,Juillet 2019,4.9
Taux de chômage,Bas-Saint-Laurent,Août 2019,4.8
Taux de chômage,Bas-Saint-Laurent,Septembre 2019,5.1
Taux de chômage,Bas-Saint-Laurent,Octobre 2019,5.4
Taux de chômage,Bas-Saint-Laurent,Novembre 2019,5.6
Taux de chômage,Bas-Saint-Laurent,Décembre 2019,5.3
Taux de chômage,Bas-Saint-Laurent,Janvier 2020,5.3
Taux de chômage,Bas-Saint-Laurent,Février 2020,5
Taux de chômage,Bas-Saint-Laurent,Mars 2020,5.2
Taux de chômage,Bas-Saint-Laurent,Avril 2020,9.4
Taux de chômage,Bas-Saint-Laurent,Mai 2020,11.6
Taux de chômage,Bas-Saint-Laurent,Juin 2020,12.7
Taux de chômage,Bas-Saint-Laurent,Juillet 2020,9.1
Taux de chômage,Bas-Saint-Laurent,Août 2020,6.7
Taux de chômage,Bas-Saint-Laurent,Septembre 2020,5.7
Taux de chômage,Bas-Saint-Laurent,Octobre 2020,5.2
Taux de chômage,Bas-Saint-Laurent,Novembre 2020,4.9
Taux de chômage,Bas-Saint-Laurent,Décembre 2020,4.7
Taux de chômage,Bas-Saint-Laurent,Janvier 2021,5.7
Taux de chômage,Bas-Saint-Laurent,Février 2021,5
Taux de chômage,Bas-Saint-Laurent,Mars 2021,4.5
Taux de chômage,Bas-Saint-Laurent,Avril 2021,3.1
Taux de chômage,Bas-Saint-Laurent,Mai 2021,4.8
Taux de chômage,Bas-Saint-Laurent,Juin 2021,5.3
Taux de chômage,Bas-Saint-Laurent,Juillet 2021,4.9
Taux de chômage,Bas-Saint-Laurent,Août 2021,4.4
Taux de chômage,Bas-Saint-Laurent,Septembre 2021,4.7
Taux de chômage,Bas-Saint-Laurent,Octobre 2021,5.2
Taux de chômage,Bas-Saint-Laurent,Novembre 2021,4.9
Taux de chômage,Bas-Saint-Laurent,Décembre 2021,5
Taux de chômage,Saguenay-Lac-Saint-Jean,Janvier 2019,6.4
Taux de chômage,Saguenay-Lac-Saint-Jean,Février 2019,6
Taux de chômage,Saguenay-Lac-Saint-Jean,Mars 2019,5.7
Taux de chômage,Saguenay-Lac-Saint-Jean,Avril 2019,5.4
Taux de chômage,Saguenay-Lac-Saint-Jean,Mai 2019,5.1
Taux de chômage,Saguenay-Lac-Saint-Jean,Juin 2019,5
Taux de chômage,Saguenay-Lac-Saint-Jean,Juillet 2019,5.1
Taux de chômage,Saguenay-Lac-Saint-Jean,Août 2019,5.5
Taux de chômage,Saguenay-Lac-Saint-Jean,Septembre 2019,5.6
Taux de chômage,Saguenay-Lac-Saint-Jean,Octobre 2019,5.9
Taux de chômage,Saguenay-Lac-Saint-Jean,Novembre 2019,5.8
Taux de chômage,Saguenay-Lac-Saint-Jean,Décembre 2019,6.1
Taux de chômage,Saguenay-Lac-Saint-Jean,Janvier 2020,6
Taux de chômage,Saguenay-Lac-Saint-Jean,Février 2020,6.2
Taux de chômage,Saguenay-Lac-Saint-Jean,Mars 2020,7.9
Taux de chômage,Saguenay-Lac-Saint-Jean,Avril 2020,13.5
Taux de chômage,Saguenay-Lac-Saint-Jean,Mai 2020,16.7
Taux de chômage,Saguenay-Lac-Saint-Jean,Juin 2020,16.5
Taux de chômage,Saguenay-Lac-Saint-Jean,Juillet 2020,11.7
Taux de chômage,Saguenay-Lac-Saint-Jean,Août 2020,8.7
