Élément statistique,Territoire,Mois,Valeur
Taux d'emploi,Bas-Saint-Laurent,Janvier 2019,55.6
Taux d'emploi,Bas-Saint-Laurent,Février 2019,56.2
Taux d'emploi,Bas-Saint-Laurent,Mars 2019,55.7
Taux d'emploi,Bas-Saint-Laurent,Avril 2019,55.1
Taux d'emploi,Bas-Saint-Laurent,Mai 2019,55.5
Taux d'emploi,Bas-Saint-Laurent,Juin 2019,55.6
Taux d'emploi,Bas-Saint-Laurent,Juillet 2019,56.4
Taux d'emploi,Bas-Saint-Laurent,Août 2019,55.9
Taux d'emploi,Bas-Saint-Laurent,Septembre 2019,55.8
Taux d'emploi,Bas-Saint-Laurent,Octobre 2019,54.7
Taux d'emploi,Bas-Saint-Laurent,Novembre 2019,54
Taux d'emploi,Bas-Saint-Laurent,Décembre 2019,53.4
Taux d'emploi,Bas-Saint-Laurent,Janvier 2020,52.7
Taux d'emploi,Bas-Saint-Laurent,Février 2020,52.9
Taux d'emploi,Bas-Saint-Laurent,Mars 2020,53.3
Taux d'emploi,Bas-Saint-Laurent,Avril 2020,50.3
Taux d'emploi,Bas-Saint-Laurent,Mai 2020,48.3
Taux d'emploi,Bas-Saint-Laurent,Juin 2020,47.2
Taux d'emploi,Bas-Saint-Laurent,Juillet 2020,50
Taux d'emploi,Bas-Saint-Laurent,Août 2020,51.4
Taux d'emploi,Bas-Saint-Laurent,Septembre 2020,52.5
Taux d'emploi,Bas-Saint-Laurent,Octobre 2020,53.2
Taux d'emploi,Bas-Saint-Laurent,Novembre 2020,54.6
Taux d'emploi,Bas-Saint-Laurent,Décembre 2020,55.5
Taux d'emploi,Bas-Saint-Laurent,Janvier 2021,55.1
Taux d'emploi,Bas-Saint-Laurent,Février 2021,55.2
Taux d'emploi,Bas-Saint-Laurent,Mars 2021,53.6
Taux d'emploi,Bas-Saint-Laurent,Avril 2021,53.7
Taux d'emploi,Bas-Saint-Laurent,Mai 2021,52
Taux d'emploi,Bas-Saint-Laurent,Juin 2021,52.3
Taux d'emploi,Bas-Saint-Laurent,Juillet 2021,53.3
Taux d'emploi,Bas-Saint-Laurent,Août 2021,54.3
Taux d'emploi,Bas-Saint-Laurent,Septembre 2021,54.6
Taux d'emploi,Bas-Saint-Laurent,Octobre 2021,53.8
Taux d'emploi,Bas-Saint-Laurent,Novembre 2021,53.4
Taux d'emploi,Bas-Saint-Laurent,Décembre 2021,52.7
Taux d'emploi,Saguenay-Lac-Saint-Jean,Janvier 2019,52
Taux d'emploi,Saguenay-Lac-Saint-Jean,Février 2019,53.1
Taux d'emploi,Saguenay-Lac-Saint-Jean,Mars 2019,53.6
Taux d'emploi,Saguenay-Lac-Saint-Jean,Avril 2019,54.2
Taux d'emploi,Saguenay-Lac-Saint-Jean,Mai 2019,55.5
Taux d'emploi,Saguenay-Lac-Saint-Jean,Juin 2019,56.3
Taux d'emploi,Saguenay-Lac-Saint-Jean,Juillet 2019,57.1
Taux d'emploi,Saguenay-Lac-Saint-Jean,Août 2019,56.6
Taux d'emploi,Saguenay-Lac-Saint-Jean,Septembre 2019,56.8
Taux d'emploi,Saguenay-Lac-Saint-Jean,Octobre 2019,56.9
Taux d'emploi,Saguenay-Lac-Saint-Jean,Novembre 2019,57
Taux d'emploi,Saguenay-Lac-Saint-Jean,Décembre 2019,56.6
Taux d'emploi,Saguenay-Lac-Saint-Jean,Janvier 2020,56.2
Taux d'emploi,Saguenay-Lac-Saint-Jean,Février 2020,56
Taux d'emploi,Saguenay-Lac-Saint-Jean,Mars 2020,54.6
Taux d'emploi,Saguenay-Lac-Saint-Jean,Avril 2020,50.3
Taux d'emploi,Saguenay-Lac-Saint-Jean,Mai 2020,47.5
Taux d'emploi,Saguenay-Lac-Saint-Jean,Juin 2020,47.9
Taux d'emploi,Saguenay-Lac-Saint-Jean,Juillet 2020,51.4
Taux d'emploi,Saguenay-Lac-Saint-Jean,Août 2020,54.1
Taux d'emploi,Saguenay-Lac-Saint-Jean,Septembre 2020,56
Taux d'emploi,Saguenay-Lac-Saint-Jean,Octobre 2020,56.6
Taux d'emploi,Saguenay-Lac-Saint-Jean,Novembre 2020,56.6
Taux d'emploi,Saguenay-Lac-Saint-Jean,Décembre 2020,55.7
Taux d'emploi,Saguenay-Lac-Saint-Jean,Janvier 2021,55.8
Taux d'emploi,Saguenay-Lac-Saint-Jean,Février 2021,56.5
Taux d'emploi,Saguenay-Lac-Saint-Jean,Mars 2021,56.6
Taux d'emploi,Saguenay-Lac-Saint-Jean,Avril 2021,56.4
Taux d'emploi,Saguenay-Lac-Saint-Jean,Mai 2021,55.1
Taux d'emploi,Saguenay-Lac-Saint-Jean,Juin 2021,53.8
Taux d'emploi,Saguenay-Lac-Saint-Jean,Juillet 2021,52.4
Taux d'emploi,Saguenay-Lac-Saint-Jean,Août 2021,51.6
Taux d'emploi,Saguenay-Lac-Saint-Jean,Septembre 2021,51.6
Taux d'emploi,Saguenay-Lac-Saint-Jean,Octobre 2021,52.1
Taux d'emploi,Saguenay-Lac-Saint-Jean,Novembre 2021,52.8
Taux d'emploi,Saguenay-Lac-Saint-Jean,Décembre 2021,53.4
Taux d'emploi,Capitale-Nationale,Janvier 2019,63.6
Taux d'emploi,Capitale-Nationale,Février 2019,64.9
Taux d'emploi,Capitale-Nationale,Mars 2019,65.2
Taux d'emploi,Capitale-Nationale,Avril 2019,65.9
Taux d'emploi,Capitale-Nationale,Mai 2019,66.7
Taux d'emploi,Capitale-Nationale,Juin 2019,66.9
Taux d'emploi,Capitale-Nationale,Juillet 2019,66.8
Taux d'emploi,Capitale-Nationale,Août 2019,65.6
Taux d'emploi,Capitale-Nationale,Septembre 2019,64.7
Taux d'emploi,Capitale-Nationale,Octobre 2019,64.1
Taux d'emploi,Capitale-Nationale,Novembre 2019,63.4
Taux d'emploi,Capitale-Nationale,Décembre 2019,62.6
Taux d'emploi,Capitale-Nationale,Janvier 2020,61.5
Taux d'emploi,Capitale-Nationale,Février 2020,61.3
Taux d'emploi,Capitale-Nationale,Mars 2020,59.7
Taux d'emploi,Capitale-Nationale,Avril 2020,56.3
Taux d'emploi,Capitale-Nationale,Mai 2020,53.9
Taux d'emploi,Capitale-Nationale,Juin 2020,54.4
Taux d'emploi,Capitale-Nationale,Juillet 2020,57.7
Taux d'emploi,Capitale-Nationale,Août 2020,59.8
Taux d'emploi,Capitale-Nationale,Septembre 2020,60.6
Taux d'emploi,Capitale-Nationale,Octobre 2020,60.1
Taux d'emploi,Capitale-Nationale,Novembre 2020,60.4
Taux d'emploi,Capitale-Nationale,Décembre 2020,60.7
Taux d'emploi,Capitale-Nationale,Janvier 2021,60.1
Taux d'emploi,Capitale-Nationale,Février 2021,59.2
Taux d'emploi,Capitale-Nationale,Mars 2021,58.9
Taux d'emploi,Capitale-Nationale,Avril 2021,59.6
Taux d'emploi,Capitale-Nationale,Mai 2021,59.9
Taux d'emploi,Capitale-Nationale,Juin 2021,60.1
Taux d'emploi,Capitale-Nationale,Juillet 2021,60.8
Taux d'emploi,Capitale-Nationale,Août 2021,61.8
Taux d'emploi,Capitale-Nationale,Septembre 2021,62.8
Taux d'emploi,Capitale-Nationale,Octobre 2021,63.2
Taux d'emploi,Capitale-Nationale,Novembre 2021,62.9
Taux d'emploi,Capitale-Nationale,Décembre 2021,61.9
Taux d'emploi,Mauricie,Janvier 2019,54.5
Taux d'emploi,Mauricie,Février 2019,54
Taux d'emploi,Mauricie,Mars 2019,54.2
Taux d'emploi,Mauricie,Avril 2019,54.3
Taux d'emploi,Mauricie,Mai 2019,54.8
Taux d'emploi,Mauricie,Juin 2019,53.7
Taux d'emploi,Mauricie,Juillet 2019,52.7
Taux d'emploi,Mauricie,Août 2019,53
Taux d'emploi,Mauricie,Septembre 2019,52.8
Taux d'emploi,Mauricie,Octobre 2019,52.7
Taux d'emploi,Mauricie,Novembre 2019,52.1
Taux d'emploi,Mauricie,Décembre 2019,54
Taux d'emploi,Mauricie,Janvier 2020,56.7
Taux d'emploi,Mauricie,Février 2020,59
Taux d'emploi,Mauricie,Mars 2020,58.4
Taux d'emploi,Mauricie,Avril 2020,55.1
Taux d'emploi,Mauricie,Mai 2020,51.5
Taux d'emploi,Mauricie,Juin 2020,50.4
Taux d'emploi,Mauricie,Juillet 2020,51.9
Taux d'emploi,Mauricie,Août 2020,53.3
Taux d'emploi,Mauricie,Septembre 2020,54.6
Taux d'emploi,Mauricie,Octobre 2020,54.7
Taux d'emploi,Mauricie,Novembre 2020,55.3
Taux d'emploi,Mauricie,Décembre 2020,54.5
Taux d'emploi,Mauricie,Janvier 2021,52.8
Taux d'emploi,Mauricie,Février 2021,52.6
Taux d'emploi,Mauricie,Mars 2021,52
Taux d'emploi,Mauricie,Avril 2021,53.4
Taux d'emploi,Mauricie,Mai 2021,53.1
Taux d'emploi,Mauricie,Juin 2021,54.2
Taux d'emploi,Mauricie,Juillet 2021,54
Taux d'emploi,Mauricie,Août 2021,54.2
Taux d'emploi,Mauricie,Septembre 2021,53.6
Taux d'emploi,Mauricie,Octobre 2021,54.1
Taux d'emploi,Mauricie,Novembre 2021,53.5
Taux d'emploi,Mauricie,Décembre 2021,52.7
Taux d'emploi,Estrie,Janvier 2019,58.7
Taux d'emploi,Estrie,Février 2019,59
Taux d'emploi,Estrie,Mars 2019,59
Taux d'emploi,Estrie,Avril 2019,58.9
Taux d'emploi,Estrie,Mai 2019,59
Taux d'emploi,Estrie,Juin 2019,59.6
Taux d'emploi,Estrie,Juillet 2019,59.5
Taux d'emploi,Estrie,Août 2019,59.3
Taux d'emploi,Estrie,Septembre 2019,59.1
Taux d'emploi,Estrie,Octobre 2019,59.6
Taux d'emploi,Estrie,Novembre 2019,59.5
Taux d'emploi,Estrie,Décembre 2019,59.4
Taux d'emploi,Estrie,Janvier 2020,59
Taux d'emploi,Estrie,Février 2020,59.6
Taux d'emploi,Estrie,Mars 2020,59.4
Taux d'emploi,Estrie,Avril 2020,56.2
Taux d'emploi,Estrie,Mai 2020,54.9
Taux d'emploi,Estrie,Juin 2020,54.2
Taux d'emploi,Estrie,Juillet 2020,56.8
Taux d'emploi,Estrie,Août 2020,57.1
Taux d'emploi,Estrie,Septembre 2020,57.3
Taux d'emploi,Estrie,Octobre 2020,57.6
Taux d'emploi,Estrie,Novembre 2020,58
Taux d'emploi,Estrie,Décembre 2020,58.3
Taux d'emploi,Estrie,Janvier 2021,58.1
Taux d'emploi,Estrie,Février 2021,58.2
Taux d'emploi,Estrie,Mars 2021,58
Taux d'emploi,Estrie,Avril 2021,58.3
Taux d'emploi,Estrie,Mai 2021,58
Taux d'emploi,Estrie,Juin 2021,57.9
Taux d'emploi,Estrie,Juillet 2021,57.6
Taux d'emploi,Estrie,Août 2021,57.2
Taux d'emploi,Estrie,Septembre 2021,57.6
Taux d'emploi,Estrie,Octobre 2021,57.7
Taux d'emploi,Estrie,Novembre 2021,58.4
Taux d'emploi,Estrie,Décembre 2021,58.2
Taux d'emploi,Montréal,Janvier 2019,62.1
Taux d'emploi,Montréal,Février 2019,61.8
Taux d'emploi,Montréal,Mars 2019,61.7
Taux d'emploi,Montréal,Avril 2019,61.7
Taux d'emploi,Montréal,Mai 2019,61.4
Taux d'emploi,Montréal,Juin 2019,61.8
Taux d'emploi,Montréal,Juillet 2019,62.2
Taux d'emploi,Montréal,Août 2019,63
Taux d'emploi,Montréal,Septembre 2019,63.5
Taux d'emploi,Montréal,Octobre 2019,63.5
Taux d'emploi,Montréal,Novembre 2019,63.3
Taux d'emploi,Montréal,Décembre 2019,62.9
Taux d'emploi,Montréal,Janvier 2020,63
Taux d'emploi,Montréal,Février 2020,63.1
Taux d'emploi,Montréal,Mars 2020,61.7
Taux d'emploi,Montréal,Avril 2020,58.2
Taux d'emploi,Montréal,Mai 2020,54.9
Taux d'emploi,Montréal,Juin 2020,53.7
Taux d'emploi,Montréal,Juillet 2020,55.1
Taux d'emploi,Montréal,Août 2020,56.1
Taux d'emploi,Montréal,Septembre 2020,57.2
Taux d'emploi,Montréal,Octobre 2020,58.2
Taux d'emploi,Montréal,Novembre 2020,59.2
Taux d'emploi,Montréal,Décembre 2020,59.5
Taux d'emploi,Montréal,Janvier 2021,59.3
Taux d'emploi,Montréal,Février 2021,59.4
Taux d'emploi,Montréal,Mars 2021,59.6
Taux d'emploi,Montréal,Avril 2021,60.4
Taux d'emploi,Montréal,Mai 2021,60.7
Taux d'emploi,Montréal,Juin 2021,61.1
Taux d'emploi,Montréal,Juillet 2021,61
Taux d'emploi,Montréal,Août 2021,61.2
Taux d'emploi,Montréal,Septembre 2021,61
Taux d'emploi,Montréal,Octobre 2021,61.3
Taux d'emploi,Montréal,Novembre 2021,62.2
Taux d'emploi,Montréal,Décembre 2021,63
Taux d'emploi,Outaouais,Janvier 2019,63.2
Taux d'emploi,Outaouais,Février 2019,63.3
Taux d'emploi,Outaouais,Mars 2019,63.6
Taux d'emploi,Outaouais,Avril 2019,64
Taux d'emploi,Outaouais,Mai 2019,64.4
Taux d'emploi,Outaouais,Juin 2019,64.3
Taux d'emploi,Outaouais,Juillet 2019,64.3
Taux d'emploi,Outaouais,Août 2019,64
Taux d'emploi,Outaouais,Septembre 2019,63.9
Taux d'emploi,Outaouais,Octobre 2019,63.7
Taux d'emploi,Outaouais,Novembre 2019,63.2
Taux d'emploi,Outaouais,Décembre 2019,62.3
Taux d'emploi,Outaouais,Janvier 2020,61.7
Taux d'emploi,Outaouais,Février 2020,61.8
Taux d'emploi,Outaouais,Mars 2020,61.1
Taux d'emploi,Outaouais,Avril 2020,57.7
Taux d'emploi,Outaouais,Mai 2020,54.8
Taux d'emploi,Outaouais,Juin 2020,54.1
Taux d'emploi,Outaouais,Juillet 2020,55.9
Taux d'emploi,Outaouais,Août 2020,56.9
Taux d'emploi,Outaouais,Septembre 2020,57.4
Taux d'emploi,Outaouais,Octobre 2020,57.9
Taux d'emploi,Outaouais,Novembre 2020,58.3
Taux d'emploi,Outaouais,Décembre 2020,58.4
Taux d'emploi,Outaouais,Janvier 2021,58.1
Taux d'emploi,Outaouais,Février 2021,58.1
Taux d'emploi,Outaouais,Mars 2021,58.3
Taux d'emploi,Outaouais,Avril 2021,58.6
Taux d'emploi,Outaouais,Mai 2021,58.6
Taux d'emploi,Outaouais,Juin 2021,58.9
Taux d'emploi,Outaouais,Juillet 2021,59.8
Taux d'emploi,Outaouais,Août 2021,60.7
Taux d'emploi,Outaouais,Septembre 2021,61.5
Taux d'emploi,Outaouais,Octobre 2021,61.7
Taux d'emploi,Outaouais,Novembre 2021,61.9
Taux d'emploi,Outaouais,Décembre 2021,61.9
Taux d'emploi,Abitibi-Témiscamingue,Janvier 2019,65.5
Taux d'emploi,Abitibi-Témiscamingue,Février 2019,65.9
Taux d'emploi,Abitibi-Témiscamingue,Mars 2019,65.6
Taux d'emploi,Abitibi-Témiscamingue,Avril 2019,64.9
Taux d'emploi,Abitibi-Témiscamingue,Mai 2019,64.2
Taux d'emploi,Abitibi-Témiscamingue,Juin 2019,63.8
Taux d'emploi,Abitibi-Témiscamingue,Juillet 2019,63.7
Taux d'emploi,Abitibi-Témiscamingue,Août 2019,63.1
Taux d'emploi,Abitibi-Témiscamingue,Septembre 2019,63.1
Taux d'emploi,Abitibi-Témiscamingue,Octobre 2019,63.2
Taux d'emploi,Abitibi-Témiscamingue,Novembre 2019,63.2
Taux d'emploi,Abitibi-Témiscamingue,Décembre 2019,62.4
Taux d'emploi,Abitibi-Témiscamingue,Janvier 2020,61.9
Taux d'emploi,Abitibi-Témiscamingue,Février 2020,61.8
Taux d'emploi,Abitibi-Témiscamingue,Mars 2020,60.5
Taux d'emploi,Abitibi-Témiscamingue,Avril 2020,55.9
Taux d'emploi,Abitibi-Témiscamingue,Mai 2020,52.2
Taux d'emploi,Abitibi-Témiscamingue,Juin 2020,51.8
